sku,listing_title,listing_description,listed_compatibility,listed_accessories,listed_dimensions,listed_colour,listing_last_updated,content_quality_score,compatibility_information_present,installation_guide_present,image_accuracy_score
SKU-POW-1021,AeroTech Power Bank 121 - High Performance,Official AeroTech Power Banks with USB-C support.,iOS and Android,"Charger, User Manual, Cable",28x14x4 cm,Space Gray,2024-03-03,0.93,True,False,0.99
SKU-TVS-1022,PixelCraft TV 122 - High Performance,Official PixelCraft TVs with Bluetooth support.,iOS and Android,"Charger, User Manual, Cable",23x11x4 cm,Silver,2024-01-14,0.96,True,False,0.91
SKU-TAB-1023,UltraLink Tablet 123 - High Performance,Official UltraLink Tablets with 3.5mm Jack support.,See Description,"Charger, User Manual, Cable",13x8x2 cm,Midnight Black,2024-02-18,1.0,False,True,0.9
SKU-CAM-1024,OmniGear Camera 124 - High Performance,Official OmniGear Cameras with Lightning support.,iOS and Android,"Charger, User Manual, Cable",12x12x5 cm,Ocean Blue,2024-01-26,0.83,True,True,0.98
SKU-KEY-1025,VoltMax Keyboard 125 - High Performance,Official VoltMax Keyboards with Micro USB support.,iOS and Android,"Charger, User Manual, Cable",25x12x2 cm,White,2024-04-12,0.59,True,True,0.45
SKU-MIC-1026,AeroTech Mice 126 - High Performance,Official AeroTech Mice with Bluetooth support.,See Description,"Charger, User Manual, Cable",24x9x4 cm,Silver,2024-06-27,0.83,False,True,0.99
SKU-SPE-1027,AeroTech Speaker 127 - High Performance,Official AeroTech Speakers with Bluetooth support.,iOS and Android,"Charger, User Manual, Cable",19x8x1 cm,White,2024-05-28,1.0,True,True,0.87
SKU-CAB-1028,VoltMax Cable 128 - High Performance,Official VoltMax Cables with USB-C support.,iOS and Android,"Charger, User Manual, Cable",26x7x1 cm,White,2024-05-10,0.81,True,False,0.92
SKU-ROU-1029,AeroTech Router 129 - High Performance,Official AeroTech Routers with HDMI support.,See Description,"Charger, User Manual, Cable",22x6x5 cm,White,2024-03-04,0.32,False,False,0.66
SKU-GAM-1030,SonicWave Gaming Accessorie 130 - High Performance,Official SonicWave Gaming Accessories with USB-C support.,See Description,"Charger, User Manual, Cable",20x9x2 cm,White,2024-06-20,0.81,False,True,0.93
SKU-SMA-1031,AeroTech Smartphone 131 - High Performance,Official AeroTech Smartphones with Micro-USB support.,iOS and Android,"Charger, User Manual, Cable",20x6x1 cm,Space Gray,2024-04-27,0.85,True,True,0.89
SKU-LAP-1032,UltraLink Laptop 132 - High Performance,Official UltraLink Laptops with USB-C support.,See Description,"Charger, User Manual, Cable",14x10x1 cm,White,2024-03-03,0.91,False,True,0.93
SKU-HEA-1033,SonicWave Headphone 133 - High Performance,Official SonicWave Headphones with USB-C support.,iOS and Android,"Charger, User Manual, Cable",30x13x1 cm,Space Gray,2024-06-19,0.83,True,True,0.94
SKU-SMA-1034,Zenith Smartwatche 134 - High Performance,Official Zenith Smartwatches with 3.5mm Jack support.,iOS and Android,"Charger, User Manual, Cable",13x6x5 cm,Space Gray,2024-02-09,0.86,True,True,0.87
SKU-CHA-1035,VoltMax Charger 135 - High Performance,Official VoltMax Chargers with HDMI support.,iOS and Android,"Charger, User Manual, Cable",18x13x4 cm,Space Gray,2024-03-05,0.92,True,True,0.95
SKU-POW-1036,OmniGear Power Bank 136 - High Performance,Official OmniGear Power Banks with Micro-USB support.,See Description,"Charger, User Manual, Cable",10x10x2 cm,Midnight Black,2024-06-12,0.97,False,True,0.89
SKU-TVS-1037,NexusCore TV 137 - High Performance,Official NexusCore TVs with Lightning support.,iOS and Android,"Charger, User Manual, Cable",13x6x2 cm,Space Gray,2024-05-19,0.83,True,True,0.93
SKU-TAB-1038,UltraLink Tablet 138 - High Performance,Official UltraLink Tablets with HDMI support.,See Description,"Charger, User Manual, Cable",11x10x2 cm,Space Gray,2024-06-23,0.47,False,False,0.49
SKU-CAM-1039,VoltMax Camera 139 - High Performance,Official VoltMax Cameras with Micro-USB support.,iOS and Android,"Charger, User Manual, Cable",29x7x2 cm,Midnight Black,2024-02-11,0.82,True,True,0.91
SKU-KEY-1040,PixelCraft Keyboard 140 - High Performance,Official PixelCraft Keyboards with HDMI support.,iOS and Android,"Charger, User Manual, Cable",20x11x2 cm,Ocean Blue,2024-03-09,0.96,True,False,0.96
SKU-MIC-1041,PixelCraft Mice 141 - High Performance,Official PixelCraft Mice with Bluetooth support.,See Description,"Charger, User Manual, Cable",24x10x3 cm,Space Gray,2024-02-28,0.41,False,True,0.46
SKU-SPE-1042,PixelCraft Speaker 142 - High Performance,Official PixelCraft Speakers with Bluetooth support.,iOS and Android,"Charger, User Manual, Cable",18x10x5 cm,Ocean Blue,2024-04-12,0.93,True,True,0.86
SKU-CAB-1043,PixelCraft Cable 143 - High Performance,Official PixelCraft Cables with Micro-USB support.,iOS and Android,"Charger, User Manual, Cable",18x7x5 cm,Midnight Black,2024-03-08,0.97,True,False,0.98
SKU-ROU-1044,OmniGear Router 144 - High Performance,Official OmniGear Routers with HDMI support.,iOS and Android,Device Only,26x6x4 cm,Midnight Black,2024-05-27,0.4,True,False,0.53
SKU-GAM-1045,VoltMax Gaming Accessorie 145 - High Performance,Official VoltMax Gaming Accessories with Micro USB support.,See Description,"Charger, User Manual, Cable",16x10x4 cm,Space Gray,2024-01-18,0.51,False,True,0.56
SKU-SMA-1046,UltraLink Smartphone 146 - High Performance,Official UltraLink Smartphones with Micro-USB support.,iOS and Android,"Charger, User Manual, Cable",19x13x3 cm,Ocean Blue,2024-06-19,0.98,True,True,0.87
SKU-LAP-1047,PixelCraft Laptop 147 - High Performance,Official PixelCraft Laptops with HDMI support.,iOS and Android,"Charger, User Manual, Cable",22x15x2 cm,Midnight Black,2024-06-06,0.88,True,False,0.91
SKU-HEA-1048,NexusCore Headphone 148 - High Performance,Official NexusCore Headphones with HDMI support.,iOS and Android,"Charger, User Manual, Cable",28x14x3 cm,Ocean Blue,2024-04-29,0.88,True,True,0.88
SKU-SMA-1049,VoltMax Smartwatche 149 - High Performance,Official VoltMax Smartwatches with Micro-USB support.,iOS and Android,"Charger, User Manual, Cable",15x15x1 cm,Ocean Blue,2024-03-13,0.94,True,True,0.99
SKU-CHA-1050,OmniGear Charger 150 - High Performance,Official OmniGear Chargers with Lightning support.,iOS and Android,"Charger, User Manual, Cable",19x8x2 cm,Silver,2024-02-07,0.93,True,True,0.96
SKU-POW-1051,NexusCore Power Bank 151 - High Performance,Official NexusCore Power Banks with 3.5mm Jack support.,See Description,"Charger, User Manual, Cable",24x11x5 cm,Silver,2024-02-19,0.6,False,True,0.63
SKU-TVS-1052,AeroTech TV 152 - High Performance,Official AeroTech TVs with USB-C support.,iOS and Android,"Charger, User Manual, Cable",13x11x2 cm,White,2024-02-15,0.88,True,False,0.95
SKU-TAB-1053,Zenith Tablet 153 - High Performance,Official Zenith Tablets with Bluetooth support.,iOS and Android,"Charger, User Manual, Cable",13x12x2 cm,White,2024-04-28,0.94,True,True,0.99
SKU-CAM-1054,PixelCraft Camera 154 - High Performance,Official PixelCraft Cameras with Lightning support.,iOS and Android,"Charger, User Manual, Cable",29x13x4 cm,White,2024-05-20,1.0,True,True,0.98
SKU-KEY-1055,OmniGear Keyboard 155 - High Performance,Official OmniGear Keyboards with 3.5mm Jack support.,iOS and Android,"Charger, User Manual, Cable",30x9x5 cm,Ocean Blue,2024-05-04,0.83,True,True,0.96
SKU-MIC-1056,Zenith Mice 156 - High Performance,Official Zenith Mice with Micro-USB support.,See Description,"Charger, User Manual, Cable",20x13x1 cm,Space Gray,2024-02-05,0.85,False,True,0.89
SKU-SPE-1057,Zenith Speaker 157 - High Performance,Official Zenith Speakers with 3.5mm Jack support.,iOS and Android,Device Only,23x10x5 cm,Space Gray,2024-04-29,0.51,True,False,0.42
SKU-CAB-1058,SonicWave Cable 158 - High Performance,Official SonicWave Cables with 3.5mm Jack support.,iOS and Android,"Charger, User Manual, Cable",10x14x4 cm,Silver,2024-05-02,0.84,True,True,0.94
SKU-ROU-1059,UltraLink Router 159 - High Performance,Official UltraLink Routers with USB-C support.,iOS and Android,"Charger, User Manual, Cable",27x13x5 cm,Ocean Blue,2024-02-26,0.39,True,True,0.65
SKU-GAM-1060,AeroTech Gaming Accessorie 160 - High Performance,Official AeroTech Gaming Accessories with USB-C support.,iOS and Android,"Charger, User Manual, Cable",22x7x4 cm,Space Gray,2024-02-02,0.85,True,True,0.95
SKU-SMA-1061,UltraLink Smartphone 161 - High Performance,Official UltraLink Smartphones with Bluetooth support.,iOS and Android,"Charger, User Manual, Cable",12x15x4 cm,Space Gray,2024-02-04,0.91,True,True,0.95
SKU-LAP-1062,VoltMax Laptop 162 - High Performance,Official VoltMax Laptops with Bluetooth support.,iOS and Android,"Charger, User Manual, Cable",20x11x3 cm,Midnight Black,2024-04-17,0.84,True,True,0.92
SKU-HEA-1063,VoltMax Headphone 163 - High Performance,Official VoltMax Headphones with Bluetooth support.,See Description,"Charger, User Manual, Cable",21x8x1 cm,Ocean Blue,2024-06-15,0.82,False,True,1.0
SKU-SMA-1064,UltraLink Smartwatche 164 - High Performance,Official UltraLink Smartwatches with Bluetooth support.,iOS and Android,"Charger, User Manual, Cable",14x12x1 cm,White,2024-05-24,0.58,True,False,0.45
SKU-CHA-1065,PixelCraft Charger 165 - High Performance,Official PixelCraft Chargers with USB-C support.,iOS and Android,"Charger, User Manual, Cable",13x7x3 cm,Silver,2024-01-28,0.89,True,True,0.94
SKU-POW-1066,VoltMax Power Bank 166 - High Performance,Official VoltMax Power Banks with HDMI support.,iOS and Android,"Charger, User Manual, Cable",16x6x5 cm,Ocean Blue,2024-06-25,0.99,True,True,0.91
SKU-TVS-1067,OmniGear TV 167 - High Performance,Official OmniGear TVs with Lightning support.,iOS and Android,"Charger, User Manual, Cable",13x14x1 cm,Midnight Black,2024-03-29,0.85,True,True,0.95
SKU-TAB-1068,NexusCore Tablet 168 - High Performance,Official NexusCore Tablets with USB-C support.,See Description,"Charger, User Manual, Cable",23x12x1 cm,Silver,2024-04-20,0.93,False,True,0.85
SKU-CAM-1069,SonicWave Camera 169 - High Performance,Official SonicWave Cameras with HDMI support.,iOS and Android,"Charger, User Manual, Cable",26x15x3 cm,Space Gray,2024-06-06,0.93,True,True,0.92
SKU-KEY-1070,OmniGear Keyboard 170 - High Performance,Official OmniGear Keyboards with Bluetooth support.,iOS and Android,"Charger, User Manual, Cable",18x10x2 cm,Space Gray,2024-01-23,0.91,True,True,0.96
SKU-MIC-1071,VoltMax Mice 171 - High Performance,Official VoltMax Mice with HDMI support.,iOS and Android,"Charger, User Manual, Cable",20x5x4 cm,Ocean Blue,2024-03-24,0.89,True,True,0.95
SKU-SPE-1072,NexusCore Speaker 172 - High Performance,Official NexusCore Speakers with Micro-USB support.,See Description,"Charger, User Manual, Cable",29x9x5 cm,Silver,2024-01-03,0.41,False,True,0.48
SKU-CAB-1073,UltraLink Cable 173 - High Performance,Official UltraLink Cables with Micro-USB support.,iOS and Android,"Charger, User Manual, Cable",17x12x4 cm,Silver,2024-04-24,0.84,True,True,0.93
SKU-ROU-1074,OmniGear Router 174 - High Performance,Official OmniGear Routers with USB-C support.,iOS and Android,"Charger, User Manual, Cable",28x10x4 cm,Silver,2024-05-21,0.82,True,True,0.9
SKU-GAM-1075,UltraLink Gaming Accessorie 175 - High Performance,Official UltraLink Gaming Accessories with Bluetooth support.,iOS and Android,"Charger, User Manual, Cable",18x9x3 cm,Ocean Blue,2024-02-29,0.89,True,True,0.96
SKU-SMA-1076,SonicWave Smartphone 176 - High Performance,Official SonicWave Smartphones with Bluetooth support.,See Description,"Charger, User Manual, Cable",15x8x2 cm,Space Gray,2024-05-03,0.39,False,True,0.69
SKU-LAP-1077,OmniGear Laptop 177 - High Performance,Official OmniGear Laptops with Micro-USB support.,iOS and Android,"Charger, User Manual, Cable",16x9x2 cm,Silver,2024-04-02,0.92,True,True,1.0
SKU-HEA-1078,VoltMax Headphone 178 - High Performance,Official VoltMax Headphones with Micro USB support.,See Description,"Charger, User Manual, Cable",19x7x4 cm,Space Gray,2024-01-27,0.51,False,False,0.42
SKU-SMA-1079,VoltMax Smartwatche 179 - High Performance,Official VoltMax Smartwatches with USB-C support.,iOS and Android,"Charger, User Manual, Cable",11x9x4 cm,Silver,2024-01-30,0.91,True,True,0.88
SKU-CHA-1080,SonicWave Charger 180 - High Performance,Official SonicWave Chargers with Bluetooth support.,See Description,"Charger, User Manual, Cable",14x14x3 cm,Silver,2024-01-22,0.88,False,True,0.86
SKU-POW-1081,Zenith Power Bank 181 - High Performance,Official Zenith Power Banks with USB-C support.,iOS and Android,"Charger, User Manual, Cable",17x13x4 cm,Midnight Black,2024-04-25,0.82,True,True,0.97
SKU-TVS-1082,NexusCore TV 182 - High Performance,Official NexusCore TVs with HDMI support.,iOS and Android,"Charger, User Manual, Cable",11x14x1 cm,White,2024-02-23,0.86,True,True,0.94
SKU-TAB-1083,PixelCraft Tablet 183 - High Performance,Official PixelCraft Tablets with HDMI support.,See Description,"Charger, User Manual, Cable",15x5x4 cm,Space Gray,2024-04-25,0.85,False,True,0.93
SKU-CAM-1084,AeroTech Camera 184 - High Performance,Official AeroTech Cameras with Lightning support.,See Description,"Charger, User Manual, Cable",24x6x2 cm,Space Gray,2024-03-08,0.89,False,True,0.89
SKU-KEY-1085,VoltMax Keyboard 185 - High Performance,Official VoltMax Keyboards with USB-C support.,iOS and Android,"Charger, User Manual, Cable",27x8x2 cm,White,2024-03-09,0.93,True,True,0.91
SKU-MIC-1086,AeroTech Mice 186 - High Performance,Official AeroTech Mice with Bluetooth support.,iOS and Android,"Charger, User Manual, Cable",28x9x4 cm,Silver,2024-02-01,0.81,True,True,0.96
SKU-SPE-1087,PixelCraft Speaker 187 - High Performance,Official PixelCraft Speakers with Micro-USB support.,iOS and Android,"Charger, User Manual, Cable",24x6x5 cm,Midnight Black,2024-01-11,0.86,True,True,0.93
SKU-CAB-1088,NexusCore Cable 188 - High Performance,Official NexusCore Cables with USB-C support.,iOS and Android,"Charger, User Manual, Cable",28x14x1 cm,Space Gray,2024-06-21,0.95,True,False,0.88
SKU-ROU-1089,NexusCore Router 189 - High Performance,Official NexusCore Routers with USB-C support.,iOS and Android,"Charger, User Manual, Cable",24x9x2 cm,Ocean Blue,2024-05-29,0.92,True,False,0.93
SKU-GAM-1090,NexusCore Gaming Accessorie 190 - High Performance,Official NexusCore Gaming Accessories with 3.5mm Jack support.,iOS and Android,"Charger, User Manual, Cable",20x15x1 cm,White,2024-02-11,0.96,True,True,0.91
SKU-SMA-1091,NexusCore Smartphone 191 - High Performance,Official NexusCore Smartphones with Micro-USB support.,iOS and Android,"Charger, User Manual, Cable",27x5x4 cm,White,2024-01-23,0.94,True,True,0.97
SKU-LAP-1092,SonicWave Laptop 192 - High Performance,Official SonicWave Laptops with 3.5mm Jack support.,iOS and Android,"Charger, User Manual, Cable",10x15x5 cm,Silver,2024-04-28,0.86,True,True,0.93
SKU-HEA-1093,Zenith Headphone 193 - High Performance,Official Zenith Headphones with Bluetooth support.,iOS and Android,"Charger, User Manual, Cable",11x8x3 cm,Space Gray,2024-05-20,0.84,True,True,0.94
SKU-SMA-1094,UltraLink Smartwatche 194 - High Performance,Official UltraLink Smartwatches with Bluetooth support.,iOS and Android,"Charger, User Manual, Cable",29x8x2 cm,White,2024-03-20,0.43,True,False,0.69
SKU-CHA-1095,Zenith Charger 195 - High Performance,Official Zenith Chargers with Micro-USB support.,See Description,"Charger, User Manual, Cable",24x6x2 cm,Space Gray,2024-05-07,0.91,False,True,0.99
SKU-POW-1096,SonicWave Power Bank 196 - High Performance,Official SonicWave Power Banks with Micro-USB support.,iOS and Android,"Charger, User Manual, Cable",25x8x4 cm,White,2024-05-21,0.86,True,True,0.92
SKU-TVS-1097,PixelCraft TV 197 - High Performance,Official PixelCraft TVs with USB-C support.,See Description,"Charger, User Manual, Cable",12x9x4 cm,Silver,2024-03-28,0.58,False,True,0.66
SKU-TAB-1098,NexusCore Tablet 198 - High Performance,Official NexusCore Tablets with Bluetooth support.,iOS and Android,"Charger, User Manual, Cable",28x14x4 cm,White,2024-02-08,0.9,True,True,0.89
SKU-CAM-1099,SonicWave Camera 199 - High Performance,Official SonicWave Cameras with HDMI support.,iOS and Android,"Charger, User Manual, Cable",20x8x2 cm,Midnight Black,2024-05-26,0.9,True,True,0.91
SKU-KEY-1100,Zenith Keyboard 200 - High Performance,Official Zenith Keyboards with Bluetooth support.,iOS and Android,"Charger, User Manual, Cable",22x11x2 cm,White,2024-05-06,0.97,True,True,0.92
SKU-MIC-1101,UltraLink Mice 201 - High Performance,Official UltraLink Mice with Lightning support.,iOS and Android,"Charger, User Manual, Cable",24x6x5 cm,Silver,2024-04-26,0.83,True,True,0.87
SKU-SPE-1102,PixelCraft Speaker 202 - High Performance,Official PixelCraft Speakers with 3.5mm Jack support.,See Description,"Charger, User Manual, Cable",25x9x3 cm,Ocean Blue,2024-06-08,0.42,False,True,0.45
SKU-CAB-1103,Zenith Cable 203 - High Performance,Official Zenith Cables with HDMI support.,iOS and Android,"Charger, User Manual, Cable",22x10x4 cm,Midnight Black,2024-05-18,0.93,True,True,0.98
SKU-ROU-1104,SonicWave Router 204 - High Performance,Official SonicWave Routers with 3.5mm Jack support.,iOS and Android,"Charger, User Manual, Cable",12x11x1 cm,Silver,2024-06-11,0.37,True,True,0.47
SKU-GAM-1105,NexusCore Gaming Accessorie 205 - High Performance,Official NexusCore Gaming Accessories with USB-C support.,iOS and Android,"Charger, User Manual, Cable",20x5x3 cm,White,2024-04-01,0.82,True,True,0.85
SKU-SMA-1106,Zenith Smartphone 206 - High Performance,Official Zenith Smartphones with Lightning support.,iOS and Android,"Charger, User Manual, Cable",15x7x1 cm,Ocean Blue,2024-06-05,0.83,True,True,0.97
SKU-LAP-1107,Zenith Laptop 207 - High Performance,Official Zenith Laptops with USB-C support.,iOS and Android,"Charger, User Manual, Cable",24x15x3 cm,Midnight Black,2024-04-27,0.92,True,True,0.87
SKU-HEA-1108,OmniGear Headphone 208 - High Performance,Official OmniGear Headphones with HDMI support.,iOS and Android,"Charger, User Manual, Cable",15x6x4 cm,Silver,2024-03-29,0.8,True,True,0.95
SKU-SMA-1109,SonicWave Smartwatche 209 - High Performance,Official SonicWave Smartwatches with Bluetooth support.,iOS and Android,"Charger, User Manual, Cable",19x8x4 cm,Silver,2024-05-03,0.86,True,True,0.92
SKU-CHA-1110,NexusCore Charger 210 - High Performance,Official NexusCore Chargers with Bluetooth support.,iOS and Android,Device Only,19x5x4 cm,White,2024-03-11,0.47,True,False,0.7
SKU-POW-1111,Zenith Power Bank 211 - High Performance,Official Zenith Power Banks with 3.5mm Jack support.,iOS and Android,"Charger, User Manual, Cable",17x14x3 cm,Space Gray,2024-02-26,0.57,True,True,0.67
SKU-TVS-1112,Zenith TV 212 - High Performance,Official Zenith TVs with Micro-USB support.,iOS and Android,"Charger, User Manual, Cable",14x15x1 cm,Space Gray,2024-06-09,0.92,True,True,0.95
SKU-TAB-1113,NexusCore Tablet 213 - High Performance,Official NexusCore Tablets with Micro-USB support.,iOS and Android,"Charger, User Manual, Cable",12x9x3 cm,Silver,2024-04-16,0.86,True,True,0.96
SKU-CAM-1114,PixelCraft Camera 214 - High Performance,Official PixelCraft Cameras with 3.5mm Jack support.,See Description,"Charger, User Manual, Cable",26x9x2 cm,Silver,2024-03-06,0.54,False,True,0.51
SKU-KEY-1115,AeroTech Keyboard 215 - High Performance,Official AeroTech Keyboards with HDMI support.,iOS and Android,"Charger, User Manual, Cable",13x12x1 cm,Silver,2024-02-06,0.99,True,True,0.98
SKU-MIC-1116,OmniGear Mice 216 - High Performance,Official OmniGear Mice with Lightning support.,iOS and Android,"Charger, User Manual, Cable",27x10x1 cm,Space Gray,2024-04-11,0.85,True,True,0.91
SKU-SPE-1117,NexusCore Speaker 217 - High Performance,Official NexusCore Speakers with Micro-USB support.,iOS and Android,"Charger, User Manual, Cable",30x10x1 cm,Space Gray,2024-06-21,0.44,True,True,0.58
SKU-CAB-1118,Zenith Cable 218 - High Performance,Official Zenith Cables with Lightning support.,iOS and Android,"Charger, User Manual, Cable",17x15x1 cm,Ocean Blue,2024-06-11,0.81,True,True,0.99
SKU-ROU-1119,OmniGear Router 219 - High Performance,Official OmniGear Routers with Micro-USB support.,iOS and Android,"Charger, User Manual, Cable",11x9x4 cm,Ocean Blue,2024-01-30,0.98,True,True,0.87
SKU-GAM-1120,UltraLink Gaming Accessorie 220 - High Performance,Official UltraLink Gaming Accessories with 3.5mm Jack support.,See Description,"Charger, User Manual, Cable",27x11x5 cm,Midnight Black,2024-02-09,0.42,False,True,0.68
SKU-SMA-1121,OmniGear Smartphone 221 - High Performance,Official OmniGear Smartphones with 3.5mm Jack support.,iOS and Android,"Charger, User Manual, Cable",18x5x3 cm,Ocean Blue,2024-02-25,0.93,True,True,0.99
SKU-LAP-1122,AeroTech Laptop 222 - High Performance,Official AeroTech Laptops with USB-C support.,iOS and Android,"Charger, User Manual, Cable",27x15x3 cm,White,2024-01-16,0.99,True,False,0.95
SKU-HEA-1123,Zenith Headphone 223 - High Performance,Official Zenith Headphones with Bluetooth support.,See Description,"Charger, User Manual, Cable",16x15x5 cm,Ocean Blue,2024-01-06,0.84,False,True,0.92
SKU-SMA-1124,NexusCore Smartwatche 224 - High Performance,Official NexusCore Smartwatches with Bluetooth support.,See Description,"Charger, User Manual, Cable",27x8x5 cm,Space Gray,2024-02-25,0.37,False,True,0.42
SKU-CHA-1125,OmniGear Charger 225 - High Performance,Official OmniGear Chargers with USB-C support.,iOS and Android,"Charger, User Manual, Cable",18x7x2 cm,Ocean Blue,2024-05-18,0.85,True,True,0.94
SKU-POW-1126,AeroTech Power Bank 226 - High Performance,Official AeroTech Power Banks with HDMI support.,iOS and Android,"Charger, User Manual, Cable",17x14x3 cm,White,2024-01-05,0.83,True,False,0.85
SKU-TVS-1127,PixelCraft TV 227 - High Performance,Official PixelCraft TVs with Lightning support.,iOS and Android,"Charger, User Manual, Cable",24x10x5 cm,White,2024-05-31,0.34,True,False,0.42
SKU-TAB-1128,VoltMax Tablet 228 - High Performance,Official VoltMax Tablets with Lightning support.,See Description,"Charger, User Manual, Cable",26x9x4 cm,Silver,2024-06-13,0.58,False,False,0.63
SKU-CAM-1129,AeroTech Camera 229 - High Performance,Official AeroTech Cameras with 3.5mm Jack support.,iOS and Android,"Charger, User Manual, Cable",25x12x1 cm,Midnight Black,2024-01-21,0.81,True,True,0.95
SKU-KEY-1130,Zenith Keyboard 230 - High Performance,Official Zenith Keyboards with HDMI support.,See Description,"Charger, User Manual, Cable",20x11x5 cm,White,2024-05-15,0.83,False,True,0.94
SKU-MIC-1131,AeroTech Mice 231 - High Performance,Official AeroTech Mice with 3.5mm Jack support.,iOS and Android,"Charger, User Manual, Cable",30x15x5 cm,Midnight Black,2024-02-25,0.9,True,True,0.87
SKU-SPE-1132,UltraLink Speaker 232 - High Performance,Official UltraLink Speakers with USB-C support.,iOS and Android,"Charger, User Manual, Cable",13x10x4 cm,Space Gray,2024-03-21,0.98,True,True,0.91
SKU-CAB-1133,SonicWave Cable 233 - High Performance,Official SonicWave Cables with HDMI support.,iOS and Android,"Charger, User Manual, Cable",12x6x4 cm,Ocean Blue,2024-01-25,0.87,True,True,0.86
SKU-ROU-1134,UltraLink Router 234 - High Performance,Official UltraLink Routers with 3.5mm Jack support.,See Description,"Charger, User Manual, Cable",27x10x1 cm,White,2024-04-15,0.87,False,False,0.99
